#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2006gv  0.199   1    1.332    0.076   -0.240    0.048   20.871    0.045    1.969   53993.060  0.709
   SDSS13411  0.163   1    2.005    0.062    0.864    0.026   21.395    0.052   20.896   53988.970  0.461
    sn2006gp  0.213   1    0.507    0.149    0.706    0.181   25.076    0.485    0.733   54055.102  1.012
    sn2006hg  0.245   1    1.248    0.071    0.097    0.057   21.730    0.066    2.419   54000.399  0.427
    sn2006hh  0.237   1    1.128    0.048   -0.237    0.047   21.240    0.048    2.211   54002.673  0.244
    sn2006mn  0.299   1    1.401    0.144    0.099    0.082   22.224    0.083    3.512   53999.107  0.878
    sn2006hc  0.228   1    1.553    0.078   -1.463    0.066   20.656    0.129    2.317   53998.460  0.500
    sn2006hd  0.298   1    1.233    0.059   -0.119    0.060   21.266    0.052    2.640   53997.506  0.391
    sn2006hf  0.210   1    1.367    0.038   -0.149    0.035   20.597    0.033    7.657   54003.998  0.272
    sn2006hs  0.252   1    1.063    0.063    0.016    0.063   21.977    0.073    3.024   53999.932  0.456
   SDSS13689  0.252   1    1.197    0.044   -0.002    0.044   21.026    0.045    7.278   54001.986  0.331
    sn2006hj  0.227   1    1.322    0.052   -0.214    0.042   20.620    0.048    5.764   54003.979  0.292
    sn2006hv  0.150   1    1.656    0.015   -0.183    0.018   19.795    0.025    4.605   54015.721  0.108
