#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2005ln  0.137   1    0.981    0.215      NaN      NaN   19.790    0.268    0.899   53700.991  1.445
    sn2005lo  0.299   1    0.735    0.136      NaN      NaN   21.665    0.472    0.341   53698.915  2.062
    sn2005lq  0.380   0    1.600    0.000      NaN      NaN      NaN      NaN    0.943   53654.993  3.507
    sn2005mp  0.273   0    1.339    0.369      NaN      NaN   21.727    0.651    0.915   53706.608  7.683
    sn2005lp  0.303   1    1.233    0.403      NaN      NaN   21.466    0.471    1.071   53703.162  6.681
    sn2005mq  0.350   1    1.600    0.000      NaN      NaN      NaN      NaN    0.796   53702.718  1.558
    sn2006fd  0.080   1    0.837    0.025      NaN      NaN   17.393    0.056   51.806   53974.173  0.589
    sn2006eq  0.049   1    0.682    0.005      NaN      NaN   18.221    0.031    5.431   53979.109  0.057
    sn2006er  0.084   1    0.769    0.013      NaN      NaN   19.270    0.044    1.695   53979.333  0.126
    sn2006gk  0.293   1    0.901    0.112      NaN      NaN   21.635    0.309    0.681   53978.983  1.926
    sn2006fa  0.167   1    0.742    0.063      NaN      NaN   22.971    0.261   18.269   53980.477  0.828
    sn2006gm  0.245   1    0.645    0.041      NaN      NaN   21.790    0.260    2.413   53981.899  0.765
    sn2006ey  0.169   1    0.629    0.041      NaN      NaN   19.778    0.294    7.562   53978.631  0.497
    sn2006fk  0.172   1    0.586    0.038      NaN      NaN   20.856    0.247    3.806   53993.756  0.511
    sn2006fl  0.172   1    1.018    0.045      NaN      NaN   19.184    0.229    1.425   53995.570  0.679
    sn2006fc  0.122   1    0.981    0.025      NaN      NaN   20.144    0.049    1.201   53992.984  0.397
    sn2006ge  0.280   0    0.918    0.086      NaN      NaN   20.559    0.295    1.011   53958.136  4.154
    sn2006gu  0.238   1    0.936    0.083      NaN      NaN   20.360    0.266    1.062   53981.261  0.711
    sn2006fr  0.307   1    0.560    0.077      NaN      NaN   21.743    0.355    1.384   53979.975  0.702
    sn2006eb  0.018   0    1.445    0.019      NaN      NaN   19.679    0.042    7.606   53980.053  0.510
    sn2006fw  0.084   1    0.996    0.008      NaN      NaN   18.819    0.024    1.655   54001.615  0.086
    sn2006fv  0.132   1    0.786    0.025      NaN      NaN   20.317    0.127    3.034   53994.809  0.416
    sn2006fj  0.190   1    0.753    0.038      NaN      NaN   20.163    0.199    2.473   53992.620  0.798
    sn2006ew  0.140   1    0.838    0.049      NaN      NaN   20.795    0.169    1.115   53976.439  1.267
    sn2006ex  0.147   1    1.011    0.047      NaN      NaN   18.974    0.229    1.920   53980.068  0.625
    sn2006fy  0.083   1    0.978    0.006      NaN      NaN   18.956    0.021    1.806   53999.481  0.079
    sn2006ff  0.235   0    1.196    0.109      NaN      NaN   21.637    0.197    0.977   53973.219  3.091
    sn2006ft  0.258   1    1.108    0.125      NaN      NaN   21.759    0.270    0.555   53979.482  1.890
    sn2006gh  0.248   1    0.817    0.071      NaN      NaN   19.771    0.323    1.153   53995.369  1.099
    sn2006gl  0.265   1    0.421    0.053      NaN      NaN   20.825    0.472    1.488   53978.657  0.610
    sn2006fh  0.127   1    0.739    0.036      NaN      NaN   20.126    0.082    3.709   53976.724  0.787
    sn2006fx  0.224   1    0.634    0.035      NaN      NaN   19.264    0.286    2.259   53993.436  0.781
    sn2006gn  0.104   1    1.125    0.012      NaN      NaN   18.999    0.029    1.074   53987.839  0.140
