cid,class,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
17092,Unknown,1,0.027540075731398037,54044.53757033075,4.74357621458074e-10,0.04483596915948796,1.0930212624298292,3.996914758817139e-11,78.05823220807137,57,Minimization exited successfully.
17093,Variable,0,-7.8e-05,53981.425150501294,4.846226416631812e-10,nan,0.8927424523426453,4.58130204194919e-11,610.3410165363183,67,Minimization exited successfully.
17094,Unknown,1,0.6013362858369279,54043.27522423189,1.3036783895188603e-09,0.02042353426442428,0.6043699943547836,1.0282715208979964e-10,374.42505027949693,63,Minimization exited successfully.
17096,Variable,1,0.41544828298096415,53967.57737828177,7.62109077117598e-10,0.019019521195590833,1.314662870085158,6.881472987600128e-11,426.4706302416453,63,Minimization exited successfully.
17097,pSNII,1,0.20241449055965935,53966.26995834591,7.874309925391886e-10,0.013935525273099353,0.6329480045860691,6.174819317902389e-11,284.97336364799787,63,Minimization exited successfully.
17098,Unknown,0,0.104289,53971.731855532096,-2.2307732821638944e-10,nan,1.7791072434119997,6.58880395760713e-11,324.753578312218,64,Minimization exited successfully.
17099,pSNIa,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17100,Variable,1,0.6442797736135204,53998.90064009294,8.44529321414108e-10,0.020606900935262962,0.7341065658692969,5.6124574625753176e-11,243.8904593154491,56,Minimization exited successfully.
17102,Variable,0,0.22189,54050.266215049756,4.605147518536774e-10,nan,1.6123268712653953,7.735374976263072e-11,158.3317687040439,70,Minimization exited successfully.
17103,Unknown,1,0.41187672408484294,54051.47843551656,9.039991695673172e-10,0.03734170064957096,0.8188501514196105,1.0911940360925132e-10,218.87657118285375,72,Minimization exited successfully.
17104,Unknown,1,0.410812585708031,54048.231174714325,5.956667819272482e-10,0.02724213316761498,0.8702106154123612,5.446058953152572e-11,89.58557814592139,75,Minimization exited successfully.
17106,SNIa,0,0.2124,54052.27934632128,7.500516835821174e-10,nan,1.0727556710007775,9.755914245417854e-11,258.70116822661885,73,Minimization exited successfully.
17107,zSNIbc,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
