cid,class,num_points_sdssu,num_points_sdssg,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
7573,Unknown,0,0,0,20,20,0,1.60144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
7575,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7594,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7600,zSNIa,20,21,21,21,21,0,0.188077,53680.86469468236,2.2973570276447127e-05,-2.350835419939633,0.046415745483770164,nan,0.3117781831060711,5.183963103028653e-07,0.3037264498476343,0.024681663093616246,97.57685358311446,79,Minimization exited successfully.
7607,Unknown,0,0,0,20,20,0,1.80512,53698.77936734276,6.574541875609237e-06,-0.1649552395996281,-0.33132073276880714,nan,1.534399687054247,2.2205428714360423e-06,0.19534276259000094,0.05357475812973656,168.6149620928744,36,Minimization exited successfully.
7611,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7624,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7630,pSNIbc,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7634,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7636,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7643,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7644,zSNIa,20,20,20,20,20,0,0.310062,53677.74081723095,9.077028902453235e-06,1.1979311153926488,0.05878391060622788,nan,0.9805952466886083,5.106344098474165e-07,1.0981031794576264,0.04245574235451772,98.9838841063773,96,Minimization exited successfully.
