cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
8236,zSNII,19,20,0,0.193779,53691.75677036615,1.1972398483925966e-05,4.01449228391095,0.07243452969150486,nan,0.5313161118647258,8.476029256037967e-07,0.9199978444515239,0.06890912740761647,127.407171625492,55,Minimization exited successfully.
8252,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8254,zSNIa,21,22,0,0.189195,53685.882183134905,2.1856805771630678e-05,-1.0788976630358478,0.09467234119984902,nan,0.321866156791657,8.895245512186502e-07,0.3445442152156853,0.04419002534320804,54.57636375214318,61,Minimization exited successfully.
8259,zSNII,0,24,0,0.446857,53685.34252196948,3.1576209854588295e-06,8.425490309451568,-0.2662713599253224,nan,1.0716941365681123,4.132519668426288e-07,2.2324107443168693,0.039192234698658096,208.2451423483772,68,Minimization exited successfully.
8264,zSNIa,20,20,0,0.237519,53679.20304692414,5.829588692679167e-06,0.04230036211467768,0.2383723291378768,nan,1.265247016272042,4.4230950453525107e-07,1.3129979379856944,0.09991077186776211,43.95159742389914,56,Minimization exited successfully.
8269,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8276,zSNIa,0,22,0,0.472,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
8280,zSNIa,21,21,0,0.184833,53679.84828335013,7.9783494593385e-06,0.9039132038765033,0.4188428199064125,nan,0.8226544273748004,4.650527888777608e-07,0.8880756317208596,0.07214036969833369,44.03721682988008,58,Minimization exited successfully.
8283,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8290,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8297,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8303,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8307,zSNIa,0,23,0,0.43608,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
8309,Unknown,23,21,0,0.149362,53679.9341120454,1.1030074400818962e-05,-0.026750645405047516,0.03766179082190576,nan,0.8509050171705894,4.713327520673425e-07,1.0295432480243227,0.06049552838684575,109.25335501397784,63,Minimization exited successfully.
8322,Unknown,20,20,0,0.085105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
8323,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8327,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
